ampersand-base,18,12
ampersand-todomvc,757,377
ariatemplates-base,18,12
ariatemplates-ariatemplates-1,455,73
backbone-base,18,12
backbone-jquery,572,383
backbone-underscore,188,112
backbone-backbone,165,62
backbone-backbone,25,3
backbone-todo,2,0
backbone-todos,4,0
backbone-todo-view,11,0
backbone-app-view,12,0
backbone-router,2,0
backbone-app,1,0
backbone_require-base,18,12
closure-base,18,12
closure-compiled,573,178
dijon-base,18,12
dijon-jquery,572,405
dijon-handlebars,192,63
dijon-dijon-0,17,5
dijon-config,3,0
dijon-TodosModel,15,0
dijon-LocalStorageService,4,0
dijon-Utils,3,0
dijon-FooterView,6,0
dijon-TodoFormView,5,0
dijon-TodoListView,10,0
dijon-app,3,0
exoskeleton-base,18,12
exoskeleton-exoskeleton,154,57
exoskeleton-index,8,2
exoskeleton-backbone,25,3
exoskeleton-backbone,17,5
exoskeleton-todo,2,0
exoskeleton-todos,5,0
exoskeleton-todo-view,10,0
exoskeleton-app-view,17,0
exoskeleton-router,2,0
exoskeleton-app,1,0
jquery-base,18,12
jquery-jquery,559,380
jquery-handlebars,209,66
jquery-director,59,34
jquery-app,25,0
knockoutjs-base,18,12
knockoutjs-knockout-latest,544,126
knockoutjs-director,59,34
knockoutjs-app,30,2
knockoutjs_require-base,18,12
lavaca_require-base,18,12
lavaca_require-require,118,35
lavaca_require-lavaca,853,586
lavaca_require-boot,0,0
mithril-base,18,12
mithril-mithril,159,70
mithril-todo,3,0
mithril-storage,3,0
mithril-todo,14,2
mithril-main-view,9,0
mithril-footer-view,1,0
mithril-app,0,0
olives-base,18,12
olives-olives-todo,515,293
polymer-base,18,12
puremvc-base,18,12
puremvc-director,59,36
puremvc-puremvc-1,94,35
puremvc-AppConstants,0,0
puremvc-TodoProxy,13,0
puremvc-AppEvents,3,0
puremvc-TodoForm,26,1
puremvc-RoutesMediator,5,0
puremvc-TodoFormMediator,4,0
puremvc-StartupCommand,1,0
puremvc-PrepControllerCommand,1,0
puremvc-PrepModelCommand,1,0
puremvc-PrepViewCommand,1,0
puremvc-TodoCommand,1,0
puremvc-app,1,0
ractive-base,18,12
ractive-Ractive,831,319
ractive-director,59,36
ractive-app,18,1
ractive-persistence,3,0
ractive-routes,4,0
rappidjs-base,18,12
rappidjs-rappidjs,848,15
react-alt-base,18,12
react-alt-react-with-addons,952,367
react-alt-JSXTransformer,795,496
react-alt-director,59,36
react-alt-alt,188,77
react-alt-utils,5,0
react-alt-alt,1,0
react-alt-todoActions,2,0
react-alt-todoStore,15,2
react-base,18,12
react-react-with-addons,952,365
react-index,3,1
react-JSXTransformer,795,492
react-director,59,36
react-utils,5,0
react-todoModel,16,2
riotjs-base,18,12
serenadejs-base,18,12
serenadejs-director,59,36
serenadejs-serenade,292,2
serenadejs-app,32,1
somajs_require-base,18,12
spine-base,18,12
spine-jquery,610,410
spine-handlebars,192,65
spine-spine,118,51
spine-route,26,9
spine-local,4,0
spine-todos,15,1
spine-todo,10,0
spine-app,19,0
typescript-backbone-base,18,12
typescript-backbone-jquery,572,395
typescript-backbone-index,451,329
typescript-backbone-backbone,165,73
typescript-backbone-backbone,25,3
typescript-backbone-app,43,3
vanilla-es6-bundle,62,7
vanilla-es6-base,18,12
vanillajs-base,18,12
vanillajs-helpers,7,0
vanillajs-store,11,3
vanillajs-model,12,3
vanillajs-template,7,1
vanillajs-view,34,1
vanillajs-controller,39,7
vanillajs-app,3,0
vue-base,18,12
vue-director,59,36
vue-vue,825,458
vue-store,3,0
vue-app,19,3
vue-routes,4,1
riotjs-base,18,12
riotjs-riot+compiler,233,6
riotjs-store,3,0
riotjs-app,1,0
somajs-base,18,12
somajs-director,59,33
somajs-soma-template,140,43
somajs-todos,6,0
somajs-router,4,0
somajs-header,6,0
somajs-main,14,0
somajs-footer,7,0
somajs-app,3,0
typescript-react-base,18,12
typescript-react-react-with-addons,952,365
typescript-react-index,3,1
typescript-react-director,59,36
typescript-react-bundle,73,7
sapui5-base,15,9
sapui5-app,1,0
